taxon_id	parent_taxon_id	taxon_rank_id	epithet	author	year	code	vernacular_names	use_parentheses
2001265	6004099	11	Noctuidae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2001265	nattflyn:swe	
2002919	6004099	11	Nolidae	Bruand	1847	urn:lsid:dyntaxa.se:Taxon:2002919	trågspinnare:swe	
6004107	6004099	11	Erebidae	Leach	1815	urn:lsid:dyntaxa.se:Taxon:6004107		
2001225	6004816	11	Oecophoridae	Bruand	1850	urn:lsid:dyntaxa.se:Taxon:2001225	praktmalar:swe	
2001226	6004816	11	Elachistidae	Bruand	1850	urn:lsid:dyntaxa.se:Taxon:2001226	gräsminerarmalar:swe	
2001227	6004816	11	Agonoxenidae	Meyrick	1926	urn:lsid:dyntaxa.se:Taxon:2001227	brokmalar:swe	
2001228	6004816	11	Batrachedridae	Heinemann & Wocke	1876	urn:lsid:dyntaxa.se:Taxon:2001228	smalvingemalar:swe	
2001229	6004816	11	Momphidae	Herrich-Schäffer	1857	urn:lsid:dyntaxa.se:Taxon:2001229	dunörtmalar:swe	
2001230	6004816	11	Cosmopterigidae	Heinemann & Wocke	1876	urn:lsid:dyntaxa.se:Taxon:2001230	fransmalar:swe	
2001231	6004816	11	Scythrididae	Rebel	1901	urn:lsid:dyntaxa.se:Taxon:2001231	korthuvudmalar:swe	
2001232	6004816	11	Blastobasidae	Meyrick	1894	urn:lsid:dyntaxa.se:Taxon:2001232	förnamalar:swe	
2001234	6004816	11	Coleophoridae	Bruand	1850	urn:lsid:dyntaxa.se:Taxon:2001234	säckmalar:swe	
2001235	6004816	11	Gelechiidae	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:2001235	stävmalar:swe	
2002913	6004816	11	Depressariidae	Meyrick	1883	urn:lsid:dyntaxa.se:Taxon:2002913	plattmalar:swe	
2002914	6004816	11	Chimabachidae	Heinemann	1870	urn:lsid:dyntaxa.se:Taxon:2002914	vårmalar:swe	
2002915	6004816	11	Autostichidae	Le Marchand	1947	urn:lsid:dyntaxa.se:Taxon:2002915		
2002916	6004816	11	Lypusidae	Herrich-Schäffer	1857	urn:lsid:dyntaxa.se:Taxon:2002916	sotmalar:swe	
2001245	6004819	11	Alucitidae	Leach	1815	urn:lsid:dyntaxa.se:Taxon:2001245	mångflikmott:swe	
2001240	6004821	11	Choreutidae	Stainton	1858	urn:lsid:dyntaxa.se:Taxon:2001240	gnidmalar:swe	
2001247	6004822	11	Pyralidae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2001247	mott:swe	
2003597	6004822	11	Crambidae	Latreille	1810	urn:lsid:dyntaxa.se:Taxon:2003597		
2001243	6004824	11	Epermeniidae	Spuler	1910	urn:lsid:dyntaxa.se:Taxon:2001243	skärmmalar:swe	
2001244	6004824	11	Wockidae	Kyrki	1988	urn:lsid:dyntaxa.se:Taxon:2001244	raspmalar:swe	
2001246	6004826	11	Pterophoridae	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:2001246	fjädermott:swe	
2001242	6004827	11	Schreckensteiniidae	Fletcher	1929	urn:lsid:dyntaxa.se:Taxon:2001242	konkavmalar:swe	
2001236	6004828	11	Tortricidae	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:2001236	vecklare:swe	
2002917	6004829	11	Urodidae	Kyrki	1988	urn:lsid:dyntaxa.se:Taxon:2002917	raspmalar:swe	
2001219	6005039	11	Douglasiidae	Heinemann & Wocke	1876	urn:lsid:dyntaxa.se:Taxon:2001219	skäckmalar:swe	
1009219	2001207	12	Nepticulinae	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:1009219		
1009239	2001213	12	Naryciinae	Tutt	1900	urn:lsid:dyntaxa.se:Taxon:1009239		
1009240	2001213	12	Taleporiinae	Herrich-Schäffer	1857	urn:lsid:dyntaxa.se:Taxon:1009240		
1009241	2001213	12	Psychinae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:1009241		
1009242	2001213	12	Epichnopteriginae	Tutt	1900	urn:lsid:dyntaxa.se:Taxon:1009242		
1009243	2001213	12	Oiketicinae	Herrich-Schäffer	1853	urn:lsid:dyntaxa.se:Taxon:1009243		
1009222	2001214	12	Myrmecozelinae	Capuse	1968	urn:lsid:dyntaxa.se:Taxon:1009222		
1009223	2001214	12	Meesiinae	Capuse	1966	urn:lsid:dyntaxa.se:Taxon:1009223		
1009224	2001214	12	Scardiinae	Eyer	1924	urn:lsid:dyntaxa.se:Taxon:1009224		
1009225	2001214	12	Nemapogoninae	Hinton	1955	urn:lsid:dyntaxa.se:Taxon:1009225		
1009226	2001214	12	Tineinae	Latreille	1810	urn:lsid:dyntaxa.se:Taxon:1009226		
1009227	2001214	12	Teichobiinae	Heinemann	1870	urn:lsid:dyntaxa.se:Taxon:1009227		
1015422	2001214	12	Tineidae, genera incertae sedis			urn:lsid:dyntaxa.se:Taxon:1015422		
2001215	2001214	12	Hieroxestinae	Meyrick	1893	urn:lsid:dyntaxa.se:Taxon:2001215	växthusmalar:swe	
6005259	2001214	12	Perissomasticinae	Gozmany	1965	urn:lsid:dyntaxa.se:Taxon:6005259		
1016311	2001216	12	Gracillariinae	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:1016311		
1016314	2001216	12	Lithocolletinae	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:1016314		
1016315	2001216	12	Phyllocnistinae	Herrich-Schäffer	1857	urn:lsid:dyntaxa.se:Taxon:1016315		
1016332	2001220	12	Scythropiinae	Krybi	1990	urn:lsid:dyntaxa.se:Taxon:1016332		
1016333	2001220	12	Yponomeutinae	Stephens	1829	urn:lsid:dyntaxa.se:Taxon:1016333		
1016378	2001222	12	Lyonetiinae	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:1016378	lansettmalar:swe	
1016379	2001222	12	Cemiostominae	Wallengren	1881	urn:lsid:dyntaxa.se:Taxon:1016379	puckelmalar:swe	
1016347	2001223	12	Orthoteliinae	Herrich-Schäffer	1857	urn:lsid:dyntaxa.se:Taxon:1016347		
1016348	2001223	12	Glyphipteriginae	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:1016348		
2002910	2001223	12	Acrolepiinae	Heinemann	1870	urn:lsid:dyntaxa.se:Taxon:2002910		
2002912	2001226	12	Ethmiinae	Busck	1909	urn:lsid:dyntaxa.se:Taxon:2002912		
6005021	2001226	12	Elachistinae	Bruand	1850	urn:lsid:dyntaxa.se:Taxon:6005021		
6005023	2001235	12	Dichomeridinae	Hampson	1918	urn:lsid:dyntaxa.se:Taxon:6005023		
6005024	2001235	12	Gelechiinae	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:6005024		
6005025	2001235	12	Anacampsinae	Curtis	1827	urn:lsid:dyntaxa.se:Taxon:6005025		
6005028	2001235	12	Anomologinae	Meyrick	1926	urn:lsid:dyntaxa.se:Taxon:6005028		
6005030	2001235	12	Thiotrichinae	Thiotrichinae Karsholt, Mutanen, Lee & Kaila	2013	urn:lsid:dyntaxa.se:Taxon:6005030		
6005031	2001235	12	Apatetrinae	Le Marchand	1947	urn:lsid:dyntaxa.se:Taxon:6005031		
6003683	2001237	12	Cossinae	Leach	1815	urn:lsid:dyntaxa.se:Taxon:6003683		
6003684	2001237	12	Zeuzerinae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:6003684		
6003678	2001241	12	Tinthiinae	Le Cerf	1917	urn:lsid:dyntaxa.se:Taxon:6003678		
6003679	2001241	12	Sesiinae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:6003679		
6004034	2001248	12	Drepaninae	Boisfuval	1828	urn:lsid:dyntaxa.se:Taxon:6004034		
6004035	2001248	12	Thyatirinae	Smith	1893	urn:lsid:dyntaxa.se:Taxon:6004035		
6004037	2001249	12	Sterrhinae	Meyrick	1892	urn:lsid:dyntaxa.se:Taxon:6004037		
6004045	2001249	12	Larentiinae	Duponchel	1845	urn:lsid:dyntaxa.se:Taxon:6004045		
6004066	2001249	12	Geometrinae	Stephens	1829	urn:lsid:dyntaxa.se:Taxon:6004066		
6004076	2001249	12	Archiearinae	Fletcher	1953	urn:lsid:dyntaxa.se:Taxon:6004076		
6004077	2001249	12	Ennominae	Duponchel	1845	urn:lsid:dyntaxa.se:Taxon:6004077		
1000492	2001250	12	Pyrginae	Burmeister	1878	urn:lsid:dyntaxa.se:Taxon:1000492	visslare:swe	
1000493	2001250	12	Heteropterinae	Aurivillius	1925	urn:lsid:dyntaxa.se:Taxon:1000493	glanssmygare:swe	
1000494	2001250	12	Hesperiinae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:1000494	smygare:swe	
1000495	2001251	12	Parnassiinae	Duponchel	1835	urn:lsid:dyntaxa.se:Taxon:1000495	apollofjärilar:swe	
1000496	2001251	12	Papilioninae	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:1000496	svalstjärtar:swe	
1000497	2001252	12	Dismorphiinae	Schatz	1887	urn:lsid:dyntaxa.se:Taxon:1000497	skörvingar:swe	
1000498	2001252	12	Pierinae	Duponchel	1835	urn:lsid:dyntaxa.se:Taxon:1000498	äkta vitfjärilar:swe	
1000499	2001252	12	Coliadinae	Swainson	1827	urn:lsid:dyntaxa.se:Taxon:1000499	höfjärilar:swe	
1000500	2001253	12	Apaturinae	Boisduval	1840	urn:lsid:dyntaxa.se:Taxon:1000500	skimmerfjärilar:swe	
1000501	2001253	12	Limenitinae	Behr	1864	urn:lsid:dyntaxa.se:Taxon:1000501	kronseglare:swe	
1000502	2001253	12	Nymphalinae	Swainson	1827	urn:lsid:dyntaxa.se:Taxon:1000502	vinterpraktfjärilar:swe	
1000503	2001253	12	Heliconiinae	Wallengren	1853	urn:lsid:dyntaxa.se:Taxon:1000503	pärlemorfjärilar:swe	
1000504	2001253	12	Melitaeinae	Newman	1870	urn:lsid:dyntaxa.se:Taxon:1000504	nätfjärilar:swe	
1000505	2001253	12	Satyrinae	Boisduval	1833	urn:lsid:dyntaxa.se:Taxon:1000505	gräsfjärilar:swe	
1000506	2001253	12	Danainae	Boisduval	1833	urn:lsid:dyntaxa.se:Taxon:1000506	mjölkväxtfjärilar:swe	
1000507	2001254	12	Riodininae	Grote	1895	urn:lsid:dyntaxa.se:Taxon:1000507		
1000508	2001254	12	Lycaeninae	Leach	1815	urn:lsid:dyntaxa.se:Taxon:1000508	äkta juvelvingar:swe	
6004021	2001254	12	Theclinae	Swainson	1831	urn:lsid:dyntaxa.se:Taxon:6004021	snabbvingar:swe	
6004026	2001254	12	Polyommatinae	Swainson	1827	urn:lsid:dyntaxa.se:Taxon:6004026	blåvingar:swe	
6003676	2001255	12	Procridinae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:6003676		
