"ids","pids"
214790,1003878
1003878,2001235
214673,1003850
214674,1003850
1003850,6005024
214701,1003855
1003855,6005024
102383,1003859
214708,1003859
214710,1003859
214711,1003859
1003859,6005024
214663,1003847
214664,1003847
214665,1003847
214666,1003847
214667,1003847
214668,1003847
214669,1003847
1003847,6005024
100550,1003865
100551,1003865
100552,1003865
100553,1003865
214732,1003865
214733,1003865
214734,1003865
214735,1003865
214736,1003865
214737,1003865
214741,1003865
214742,1003865
214743,1003865
214744,1003865
214745,1003865
214747,1003865
214748,1003865
214749,1003865
214750,1003865
214751,1003865
214752,1003865
214753,1003865
1003865,6005024
100614,1003854
102393,1003854
214689,1003854
214690,1003854
214691,1003854
214693,1003854
214694,1003854
214695,1003854
214696,1003854
214697,1003854
214698,1003854
214699,1003854
1003854,6005024
6003472,6003471
6003471,6005024
214654,1003843
1003843,6005024
102445,1003856
214702,1003856
1003856,6005024
214675,1003851
214676,1003851
214677,1003851
214678,1003851
214679,1003851
214680,1003851
214681,1003851
214682,1003851
214683,1003851
214684,1003851
1003851,6005024
101001,1003860
102446,1003860
102447,1003860
102448,1003860
214713,1003860
1003860,6005024
214731,1003864
1003864,6005024
101336,1003853
214688,1003853
1003853,6005024
214704,1003857
214705,1003857
1003857,6005024
214656,1003845
1003845,6005024
216323,1004448
1004448,6005024
102460,1003858
214706,1003858
1003858,6005024
214670,1003848
214671,1003848
1003848,6005024
214685,1003852
214686,1003852
1003852,6005024
214652,1003842
214653,1003842
1003842,6005024
102499,1003862
102500,1003862
214718,1003862
214720,1003862
214721,1003862
214722,1003862
214723,1003862
214724,1003862
214726,1003862
214727,1003862
214728,1003862
250429,1003862
1003862,6005024
102501,1003861
1003861,6005024
214729,1003863
6003467,1003863
214730,1003863
1003863,6005024
101798,1003866
214754,1003866
214755,1003866
214757,1003866
214758,1003866
1003866,6005024
214655,1003844
1003844,6005024
101884,1003846
214657,1003846
214658,1003846
214659,1003846
214660,1003846
214662,1003846
1003846,6005024
214672,1003849
1003849,6005024
102007,1003832
214604,1003832
1003832,6005024
6005024,2001235
214673,1003850
214674,1003850
1003850,2001235
214701,1003855
1003855,2001235
102383,1003859
214708,1003859
