"AlertStatusId","Author","CategoryId","ChangeStatusId","CommonName","CreatedBy","CreatedDate","Guid","Id","IsGraded","IsInRevision","IsPublished","IsValid","ModifiedBy","ModifiedDate","ScientificName","SortOrder","ValidFromDate","ValidToDate"
0,"(Zeller, 1839)",17,0,"sandbackekorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214381",214381,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris siccella",36804,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Haworth, 1828)",17,0,"ögonbrynkorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214382",214382,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris picaepennis",36805,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Tengström, 1848)",17,0,"svart ängskorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214383",214383,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris disparella",36806,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Denis & Schiffermüller, 1775)",17,0,"gråfibblekorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214385",214385,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris laminella",36807,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Haworth, 1828)",17,0,"solvändekorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214386",214386,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris fuscoaenea",36808,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Hübner, 1825",14,0,NA,1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:1003788",1003788,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris",36793,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Rebel, 1901",11,0,"korthuvudmalar",1,2004-01-20 00:00:00,"urn:lsid:dyntaxa.se:Taxon:2001231",2001231,FALSE,TRUE,TRUE,TRUE,876,2014-12-22 10:24:14,"Scythrididae",36792,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Stainton, 1854",10,0,NA,876,2014-08-29 15:17:36,"urn:lsid:dyntaxa.se:Taxon:6004816",6004816,FALSE,TRUE,TRUE,TRUE,147,2014-12-22 10:24:14,"Gelechioidea",36087,2014-09-04 12:36:00,2444-08-01 00:00:00
0,"(Curtis, 1832)",17,0,"blomers mätare",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:215857",215857,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Venusia blomeri",37032,1763-02-08 00:00:00,2447-08-01 00:00:00
2,"Warren, 1895",14,-2,NA,1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:1004250",1004250,FALSE,FALSE,TRUE,FALSE,1,2004-03-19 00:00:00,"Discoloxia",0,1763-02-08 00:00:00,2008-07-29 00:00:00
0,"Curtis, 1839",17,0,"kambrisk mätare",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:215858",215858,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Venusia cambrica",37033,1763-02-08 00:00:00,2447-08-01 00:00:00
2,"Curtis, 1839",14,-2,NA,1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:1004251",1004251,FALSE,FALSE,TRUE,FALSE,1,2004-03-19 00:00:00,"Venusia",0,1763-02-08 00:00:00,2008-07-29 00:00:00
0,"(Thunberg, 1792)",17,0,"dvärgmätare",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:215558",215558,FALSE,TRUE,TRUE,TRUE,876,2014-08-26 17:02:29,"Macaria fusca",37212,1763-02-08 00:00:00,2447-08-01 00:00:00
2,"Boisduval, 1840",14,-2,NA,1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:1004132",1004132,FALSE,FALSE,TRUE,FALSE,876,2014-08-26 17:02:29,"Pygmaena",0,1763-02-08 00:00:00,2014-07-14 12:55:17
